event_id,case_id,event_type,category,customer_id,merchant_id,obligation_id,obligation_type,amount_paise,amount_paid_paise,outstanding_amount_paise,currency,payment_method,bank,failure_reason,root_cause,created_at,hour_of_day,day_of_week,day_of_month,days_overdue,persona,customer_segment,customer_tenure_days,successful_payment_count,failed_payment_count_90d,previous_retry_success,previous_dunning_response,ptp_history_count,fulfilled_ptp_count,partial_payment_count,disputed_payment_count,invoice_count,subscription_count,average_days_late,days_since_last_payment,preferred_payment_hour,preferred_payment_day,channel_preference,last_contact_channel,contact_count_7d,contact_count_30d,sms_open_rate,whatsapp_read_rate,email_open_rate,voice_answer_rate,consent_sms,consent_email,consent_whatsapp,consent_voice,payment_method_changes_90d,device_change_count_30d,gateway_latency_ms,bank_status,is_international,is_anonymous_checkout,mandate_status,link_state,last_webhook_status,conversation_intent_hint,customer_message_sample,event_quality_flag
evt_syn_00016,case_syn_00016,payment.failed,Insufficient funds (low),cus_0414,mer_health_04,obl_syn_00016,payment,921900,0,921900,INR,card,SBI,insufficient_funds_low,insufficient_funds,1788145560,3,0,31,4,P6,consumer,135,5,2,0.566,sms_responsive,0,0,2,0,1,3,7.1,84,12,8,SMS,PAYMENT_LINK,3,7,0.66,0.291,0.247,0.516,1,1,1,1,3,1,1114,normal,0,0,not_applicable,not_created,valid,REQUEST_PAYMENT_LINK,Salary aate hi pay kar dunga.,normal
evt_syn_00017,case_syn_00017,payment.failed,Insufficient funds (low),cus_0056,mer_edu_03,obl_syn_00017,payment,936400,0,936400,INR,upi,IDFC,insufficient_funds_low,insufficient_funds,1788143760,2,0,31,6,P1,startup,474,10,2,0.574,calm,1,1,0,0,2,1,2.7,29,20,12,EMAIL,PAYMENT_LINK,3,6,0.541,0.416,0.679,0.705,1,1,1,0,4,0,1761,normal,0,0,not_applicable,not_created,valid,REQUEST_PAYMENT_LINK,Salary aate hi pay kar dunga.,normal
evt_syn_00018,case_syn_00018,payment.failed,Insufficient funds (low),cus_0142,mer_health_04,obl_syn_00018,payment,724600,0,724600,INR,emandate,Federal,insufficient_funds_low,insufficient_funds,1788146880,3,0,31,9,P2,consumer,792,13,5,0.331,needs_salary_day,2,0,1,0,6,1,6.0,50,23,4,WHATSAPP,EMAIL,2,5,0.445,0.668,0.076,0.506,1,1,1,0,0,0,1521,normal,0,0,not_applicable,not_created,valid,REQUEST_PAYMENT_LINK,Please send reminder tomorrow evening.,normal
evt_syn_00019,case_syn_00019,payment.failed,Insufficient funds (low),cus_0149,mer_saas_02,obl_syn_00019,payment,773800,0,773800,INR,card,Yes Bank,insufficient_funds_low,insufficient_funds,1788137460,0,0,31,0,P2,enterprise,1427,23,7,0.611,needs_salary_day,1,1,1,0,6,1,4.9,35,22,6,WHATSAPP,VOICE_CALL,2,5,0.284,0.732,0.519,0.32,1,1,1,1,2,2,581,normal,0,0,not_applicable,not_created,valid,REQUEST_PAYMENT_LINK,Salary aate hi pay kar dunga.,normal
evt_syn_00020,case_syn_00020,payment.failed,Insufficient funds (low),cus_0046,mer_travel_05,obl_syn_00020,payment,74200,0,74200,INR,emandate,Axis,insufficient_funds_low,insufficient_funds,1788137460,0,0,31,2,P6,enterprise,146,3,6,0.387,sms_responsive,0,0,2,0,2,5,2.4,78,11,27,SMS,EMAIL,0,8,0.886,0.469,0.307,0.604,1,1,1,1,1,1,941,normal,0,0,not_applicable,not_created,valid,REQUEST_PAYMENT_LINK,Please send reminder tomorrow evening.,normal
evt_syn_00021,case_syn_00021,payment.failed,Insufficient funds (low),cus_0116,mer_travel_05,obl_syn_00021,payment,324300,0,324300,INR,emandate,IDFC,insufficient_funds_low,insufficient_funds,1788138780,1,0,31,7,P2,enterprise,1047,23,8,0.4,needs_salary_day,3,3,2,0,2,2,3.4,9,21,3,WHATSAPP,PAYMENT_LINK,3,12,0.438,0.835,0.072,0.644,1,1,1,1,0,0,1046,normal,0,0,not_applicable,not_created,valid,REQUEST_PAYMENT_LINK,Please send reminder tomorrow evening.,normal
evt_syn_00022,case_syn_00022,payment.failed,Insufficient funds (low),cus_0244,mer_retail_01,obl_syn_00022,payment,112600,0,112600,INR,card,Axis,insufficient_funds_low,insufficient_funds,1788139320,1,0,31,2,P7,consumer,283,9,4,0.72,whatsapp_responsive,2,2,2,0,6,1,1.8,74,11,13,WHATSAPP,SMS,2,4,0.303,0.94,0.543,0.426,1,1,1,1,3,2,1439,normal,0,0,not_applicable,not_created,valid,REQUEST_PAYMENT_LINK,Salary aate hi pay kar dunga.,normal
evt_syn_00023,case_syn_00023,payment.failed,Insufficient funds (low),cus_0287,mer_edu_03,obl_syn_00023,payment,707000,0,707000,INR,upi,IDFC,insufficient_funds_low,insufficient_funds,1788135360,0,0,31,9,P7,consumer,976,18,4,0.421,whatsapp_responsive,1,0,1,0,5,4,3.7,70,17,21,WHATSAPP,SMS,3,2,0.207,0.91,0.435,0.405,1,1,1,1,4,2,358,normal,0,0,not_applicable,not_created,valid,REQUEST_PAYMENT_LINK,Please send reminder tomorrow evening.,normal
evt_syn_00024,case_syn_00024,payment.failed,Insufficient funds (low),cus_0248,mer_retail_01,obl_syn_00024,payment,619000,0,619000,INR,card,SBI,insufficient_funds_low,insufficient_funds,1788140700,1,0,31,9,P7,enterprise,1016,25,3,0.471,whatsapp_responsive,3,2,2,0,3,1,1.3,75,21,19,WHATSAPP,SMS,2,4,0.075,0.947,0.355,0.627,1,1,1,1,3,0,1391,normal,0,0,not_applicable,not_created,valid,REQUEST_PAYMENT_LINK,Please send reminder tomorrow evening.,normal
evt_syn_00025,case_syn_00025,payment.failed,Insufficient funds (low),cus_0013,mer_health_04,obl_syn_00025,payment,473800,0,473800,INR,upi,SBI,insufficient_funds_low,insufficient_funds,1788141240,1,0,31,1,P2,smb,208,12,6,0.646,needs_salary_day,4,1,2,0,6,4,5.8,42,20,12,WHATSAPP,SMS,0,4,0.403,0.706,0.548,0.617,1,1,1,1,3,2,1054,normal,0,0,not_applicable,not_created,valid,REQUEST_PAYMENT_LINK,Please send reminder tomorrow evening.,normal
evt_syn_00026,case_syn_00026,payment.failed,Insufficient funds (low),cus_0014,mer_health_04,obl_syn_00026,payment,806400,0,806400,INR,emandate,ICICI,insufficient_funds_low,insufficient_funds,1788132780,23,6,30,9,P7,smb,1349,21,0,0.444,whatsapp_responsive,1,1,2,1,1,4,6.6,72,13,18,WHATSAPP,EMAIL,1,1,0.508,0.905,0.371,0.153,1,1,1,1,4,3,274,normal,0,0,not_applicable,not_created,valid,REQUEST_PAYMENT_LINK,Salary aate hi pay kar dunga.,normal
evt_syn_00027,case_syn_00027,payment.failed,Insufficient funds (low),cus_0061,mer_retail_01,obl_syn_00027,payment,191600,0,191600,INR,upi,Federal,insufficient_funds_low,insufficient_funds,1788137340,0,0,31,1,P2,startup,250,8,7,0.707,needs_salary_day,2,1,0,0,0,3,5.1,36,21,14,WHATSAPP,WHATSAPP,0,11,0.403,0.851,0.446,0.31,1,1,1,0,1,2,266,normal,0,0,not_applicable,not_created,valid,REQUEST_PAYMENT_LINK,Please send reminder tomorrow evening.,normal
evt_syn_00028,case_syn_00028,payment.failed,Insufficient funds (low),cus_0318,mer_edu_03,obl_syn_00028,payment,822500,0,822500,INR,upi,SBI,insufficient_funds_low,insufficient_funds,1788131700,23,6,30,6,P1,consumer,1954,35,2,0.643,calm,3,0,1,0,3,2,2.8,73,19,19,EMAIL,SMS,0,5,0.31,0.142,0.919,0.356,1,1,1,1,0,2,361,normal,0,0,not_applicable,not_created,valid,REQUEST_PAYMENT_LINK,Salary aate hi pay kar dunga.,normal
evt_syn_00029,case_syn_00029,payment.failed,Insufficient funds (low),cus_0001,mer_saas_02,obl_syn_00029,payment,722600,0,722600,INR,emandate,Federal,insufficient_funds_low,insufficient_funds,1788129840,22,6,30,9,P8,startup,102,5,2,0.255,voice_averse,0,0,1,0,2,2,8.2,47,17,9,SMS,PAYMENT_LINK,1,2,0.856,0.061,0.428,0.02,1,1,1,0,1,3,327,normal,0,0,not_applicable,not_created,valid,REQUEST_PAYMENT_LINK,Salary aate hi pay kar dunga.,normal
evt_syn_00030,case_syn_00030,payment.failed,Insufficient funds (low),cus_0335,mer_travel_05,obl_syn_00030,payment,401300,0,401300,INR,emandate,ICICI,insufficient_funds_low,insufficient_funds,1788132120,23,6,30,5,P7,consumer,306,6,4,0.685,whatsapp_responsive,0,0,2,1,1,1,4.7,16,18,15,WHATSAPP,PAYMENT_LINK,0,11,0.437,0.707,0.368,0.411,1,1,1,0,0,2,1284,normal,0,0,not_applicable,not_created,valid,REQUEST_PAYMENT_LINK,Salary aate hi pay kar dunga.,normal
evt_syn_00031,case_syn_00031,payment.failed,Insufficient funds (low),cus_0247,mer_saas_02,obl_syn_00031,payment,735200,0,735200,INR,upi,Kotak,insufficient_funds_low,insufficient_funds,1788132840,23,6,30,5,P7,enterprise,823,13,2,0.404,whatsapp_responsive,0,0,0,0,5,5,5.5,32,16,10,WHATSAPP,PAYMENT_LINK,2,11,0.292,0.657,0.258,0.109,1,1,1,1,1,2,1470,normal,0,0,not_applicable,not_created,valid,REQUEST_PAYMENT_LINK,Please send reminder tomorrow evening.,normal
evt_syn_00032,case_syn_00032,payment.failed,Insufficient funds (low),cus_0267,mer_edu_03,obl_syn_00032,payment,881700,0,881700,INR,upi,HDFC,insufficient_funds_low,insufficient_funds,1788131880,23,6,30,1,P2,consumer,1320,22,2,0.693,needs_salary_day,3,1,2,0,0,4,2.8,26,18,12,WHATSAPP,WHATSAPP,3,2,0.094,0.859,0.492,0.335,1,1,1,1,2,2,206,normal,0,0,not_applicable,not_created,valid,REQUEST_PAYMENT_LINK,Salary aate hi pay kar dunga.,normal
evt_syn_00033,case_syn_00033,payment.failed,Insufficient funds (low),cus_0103,mer_health_04,obl_syn_00033,payment,749000,0,749000,INR,card,SBI,insufficient_funds_low,insufficient_funds,1788128100,22,6,30,6,P2,smb,145,0,3,0.445,needs_salary_day,1,0,0,0,5,4,2.4,73,22,26,WHATSAPP,EMAIL,3,5,0.438,0.681,0.404,0.587,1,1,1,1,2,1,1743,normal,0,0,not_applicable,not_created,valid,REQUEST_PAYMENT_LINK,Please send reminder tomorrow evening.,normal
evt_syn_00034,case_syn_00034,payment.failed,Insufficient funds (low),cus_0248,mer_saas_02,obl_syn_00034,payment,85000,0,85000,INR,upi,SBI,insufficient_funds_low,insufficient_funds,1788126660,21,6,30,7,P7,enterprise,1016,25,3,0.471,whatsapp_responsive,3,2,2,0,3,1,1.3,75,21,19,WHATSAPP,SMS,2,4,0.075,0.947,0.355,0.627,1,1,1,1,3,0,816,normal,0,0,not_applicable,not_created,valid,REQUEST_PAYMENT_LINK,Please send reminder tomorrow evening.,normal
evt_syn_00035,case_syn_00035,payment.failed,Insufficient funds (low),cus_0244,mer_retail_01,obl_syn_00035,payment,234400,0,234400,INR,emandate,Yes Bank,insufficient_funds_low,insufficient_funds,1788123660,21,6,30,0,P7,consumer,283,9,4,0.72,whatsapp_responsive,2,2,2,0,6,1,1.8,74,11,13,WHATSAPP,SMS,2,4,0.303,0.94,0.543,0.426,1,1,1,1,3,2,1160,normal,0,0,not_applicable,not_created,valid,REQUEST_PAYMENT_LINK,Please send reminder tomorrow evening.,normal
evt_syn_00036,case_syn_00036,payment.failed,Insufficient funds (low),cus_0297,mer_health_04,obl_syn_00036,payment,883800,0,883800,INR,upi,Yes Bank,insufficient_funds_low,insufficient_funds,1788120360,20,6,30,0,P3,consumer,631,8,7,0.314,avoidant,7,3,2,0,4,0,7.0,66,23,5,SMS,PAYMENT_LINK,1,1,0.818,0.448,0.48,0.515,1,1,1,1,2,0,1379,normal,0,0,not_applicable,not_created,valid,REQUEST_PAYMENT_LINK,Salary aate hi pay kar dunga.,normal
evt_syn_00037,case_syn_00037,payment.failed,Insufficient funds (low),cus_0380,mer_retail_01,obl_syn_00037,payment,467600,0,467600,INR,emandate,SBI,insufficient_funds_low,insufficient_funds,1788121920,20,6,30,4,P1,enterprise,1495,22,6,0.556,calm,2,0,1,0,6,0,1.7,47,15,9,EMAIL,EMAIL,1,6,0.38,0.251,0.909,0.337,1,1,1,1,0,0,1288,normal,0,0,not_applicable,not_created,valid,REQUEST_PAYMENT_LINK,Salary aate hi pay kar dunga.,normal
evt_syn_00038,case_syn_00038,payment.failed,Insufficient funds (low),cus_0323,mer_saas_02,obl_syn_00038,payment,314100,0,314100,INR,upi,Yes Bank,insufficient_funds_low,insufficient_funds,1788124860,21,6,30,6,P6,consumer,941,16,1,0.746,sms_responsive,0,0,2,0,5,5,8.3,77,20,16,SMS,WHATSAPP,0,7,0.907,0.165,0.408,0.242,1,1,1,1,0,2,497,normal,0,0,not_applicable,not_created,valid,REQUEST_PAYMENT_LINK,Please send reminder tomorrow evening.,normal
evt_syn_00039,case_syn_00039,payment.failed,Insufficient funds (low),cus_0040,mer_edu_03,obl_syn_00039,payment,482900,0,482900,USD,upi,Kotak,insufficient_funds_low,insufficient_funds,1788125940,21,6,30,7,P10,smb,1741,31,4,0.591,partial_payer,3,2,1,0,22,1,10.9,66,16,22,WHATSAPP,WHATSAPP,1,10,0.196,0.879,0.568,0.103,1,1,1,1,4,0,1230,normal,1,0,not_applicable,not_created,valid,REQUEST_PAYMENT_LINK,Salary aate hi pay kar dunga.,normal
evt_syn_00040,case_syn_00040,payment.failed,Insufficient funds (low),cus_0277,mer_edu_03,obl_syn_00040,payment,918000,0,918000,INR,upi,Federal,insufficient_funds_low,insufficient_funds,1788115860,18,6,30,5,P2,consumer,743,19,4,0.371,needs_salary_day,3,2,0,0,1,1,2.8,42,22,5,WHATSAPP,WHATSAPP,2,2,0.22,0.865,0.208,0.14,1,1,1,1,4,1,947,normal,0,0,not_applicable,not_created,valid,REQUEST_PAYMENT_LINK,Salary aate hi pay kar dunga.,normal
evt_syn_00041,case_syn_00041,payment.failed,Insufficient funds (low),cus_0240,mer_travel_05,obl_syn_00041,payment,946300,0,946300,INR,emandate,Axis,insufficient_funds_low,insufficient_funds,1788122760,20,6,30,9,P1,startup,2136,38,6,0.832,calm,2,0,2,2,3,1,2.2,38,19,16,EMAIL,EMAIL,0,9,0.173,0.173,0.781,0.129,1,1,1,1,1,3,1380,normal,0,0,not_applicable,not_created,valid,REQUEST_PAYMENT_LINK,Please send reminder tomorrow evening.,normal
evt_syn_00042,case_syn_00042,payment.failed,Insufficient funds (low),cus_0122,mer_saas_02,obl_syn_00042,payment,79200,0,79200,INR,card,Axis,insufficient_funds_low,insufficient_funds,1788113640,18,6,30,0,P10,smb,976,27,4,0.51,partial_payer,2,2,2,0,5,0,6.0,38,22,11,WHATSAPP,SMS,2,9,0.318,0.824,0.484,0.335,1,1,1,1,4,2,107,normal,0,0,not_applicable,not_created,valid,REQUEST_PAYMENT_LINK,Please send reminder tomorrow evening.,normal
evt_syn_00043,case_syn_00043,payment.failed,Insufficient funds (low),cus_0207,mer_travel_05,obl_syn_00043,payment,325700,0,325700,INR,card,Axis,insufficient_funds_low,insufficient_funds,1788116460,19,6,30,4,P6,enterprise,1252,16,4,0.467,sms_responsive,2,0,0,0,4,4,2.1,50,16,2,SMS,VOICE_CALL,1,7,0.687,0.4,0.178,0.488,1,1,1,1,3,1,1758,normal,0,0,not_applicable,not_created,valid,REQUEST_PAYMENT_LINK,Please send reminder tomorrow evening.,normal
evt_syn_00044,case_syn_00044,payment.failed,Insufficient funds (low),cus_0243,mer_edu_03,obl_syn_00044,payment,561900,0,561900,INR,card,IDFC,insufficient_funds_low,insufficient_funds,1788119460,19,6,30,3,P2,startup,129,0,5,0.642,needs_salary_day,4,4,0,1,3,1,6.0,2,23,4,WHATSAPP,PAYMENT_LINK,1,5,0.083,0.626,0.494,0.662,1,1,1,1,2,3,1279,normal,0,0,not_applicable,not_created,valid,REQUEST_PAYMENT_LINK,Salary aate hi pay kar dunga.,normal
evt_syn_00045,case_syn_00045,payment.failed,Insufficient funds (low),cus_0038,mer_saas_02,obl_syn_00045,payment,576300,0,576300,INR,upi,Kotak,insufficient_funds_low,insufficient_funds,1788114540,18,6,30,5,P3,enterprise,748,21,13,0.174,avoidant,7,4,0,0,2,3,19.4,10,23,26,SMS,WHATSAPP,2,11,0.847,0.396,0.443,0.48,1,1,1,1,4,2,903,normal,0,0,not_applicable,not_created,valid,REQUEST_PAYMENT_LINK,Please send reminder tomorrow evening.,normal
evt_syn_00046,case_syn_00046,payment.failed,Insufficient funds (low),cus_0338,mer_edu_03,obl_syn_00046,payment,107600,0,107600,INR,card,ICICI,insufficient_funds_low,insufficient_funds,1788118560,19,6,30,2,P10,smb,393,2,7,0.505,partial_payer,8,4,4,0,24,1,19.8,55,19,21,WHATSAPP,EMAIL,3,9,0.213,0.819,0.352,0.515,1,1,1,1,4,1,1561,normal,0,0,not_applicable,not_created,valid,REQUEST_PAYMENT_LINK,Salary aate hi pay kar dunga.,normal
evt_syn_00047,case_syn_00047,payment.failed,Insufficient funds (low),cus_0353,mer_saas_02,obl_syn_00047,payment,596800,0,596800,INR,upi,IDFC,insufficient_funds_low,insufficient_funds,1788112020,17,6,30,3,P6,consumer,576,14,4,0.553,sms_responsive,0,0,2,0,4,2,6.3,67,10,21,SMS,EMAIL,1,4,0.661,0.116,0.115,0.361,1,1,1,1,3,0,882,normal,0,0,not_applicable,not_created,valid,REQUEST_PAYMENT_LINK,Please send reminder tomorrow evening.,normal
evt_syn_00048,case_syn_00048,payment.failed,Insufficient funds (low),cus_0322,mer_health_04,obl_syn_00048,payment,669000,0,669000,INR,upi,ICICI,insufficient_funds_low,insufficient_funds,1788107940,16,6,30,9,P2,consumer,758,14,6,0.587,needs_salary_day,4,2,2,0,5,2,2.3,17,23,5,WHATSAPP,VOICE_CALL,1,1,0.396,0.77,0.365,0.599,1,1,1,1,0,1,495,normal,0,0,not_applicable,not_created,valid,REQUEST_PAYMENT_LINK,Salary aate hi pay kar dunga.,normal
evt_syn_00049,case_syn_00049,payment.failed,Insufficient funds (low),cus_0367,mer_health_04,obl_syn_00049,payment,356700,0,356700,INR,upi,SBI,insufficient_funds_low,insufficient_funds,1788110160,17,6,30,6,P2,startup,1050,17,5,0.45,needs_salary_day,4,1,0,0,4,3,2.4,86,23,14,WHATSAPP,VOICE_CALL,1,6,0.299,0.699,0.542,0.391,1,1,1,1,1,2,1741,normal,0,0,not_applicable,not_created,valid,REQUEST_PAYMENT_LINK,Please send reminder tomorrow evening.,normal
evt_syn_00050,case_syn_00050,payment.failed,Insufficient funds (low),cus_0207,mer_edu_03,obl_syn_00050,payment,276900,0,276900,INR,card,Yes Bank,insufficient_funds_low,insufficient_funds,1788105120,15,6,30,5,P6,enterprise,1252,16,4,0.467,sms_responsive,2,0,0,0,4,4,2.1,50,16,2,SMS,VOICE_CALL,1,7,0.687,0.4,0.178,0.488,1,1,1,1,3,1,116,normal,0,0,not_applicable,not_created,valid,REQUEST_PAYMENT_LINK,Salary aate hi pay kar dunga.,normal
